Timestamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6
2024-07-16 21:15:24.771,1461,1894,1333,2700,1865,1273
2024-07-16 21:15:24.773,1432,2521,1398,-16,1332,1174
2024-07-16 21:15:24.775,1488,2634,1384,8,1074,1086
2024-07-16 21:15:24.777,1462,2739,1393,-8,877,994
2024-07-16 21:15:24.778,1500,2004,1485,-12,712,895
2024-07-16 21:15:24.780,1456,2234,1521,-10,586,804
2024-07-16 21:15:24.782,1509,1930,1396,2970,1042,848
2024-07-16 21:15:24.784,1471,2111,1381,2973,1216,878
2024-07-16 21:15:24.786,1508,1239,1481,2968,1349,924
2024-07-16 21:15:24.788,1477,976,1316,2970,1480,968
2024-07-16 21:15:24.790,1514,222,1570,2957,1564,1015
2024-07-16 21:15:24.791,1480,331,1622,2966,1653,1067
2024-07-16 21:15:24.793,1510,22,1444,2968,1726,1113
2024-07-16 21:15:24.795,1473,373,1602,2965,1792,1164
2024-07-16 21:15:24.796,1525,44,1402,2967,1837,1206
2024-07-16 21:15:24.798,1470,836,1684,2888,1873,1243
2024-07-16 21:15:24.800,1505,1218,1442,2707,1865,1272
2024-07-16 21:15:24.803,1467,2172,1462,-17,1330,1177
2024-07-16 21:15:24.807,1512,2355,1598,-11,1081,1088
2024-07-16 21:15:24.809,1466,2981,1380,-15,876,994
2024-07-16 21:15:24.812,1508,2889,1523,0,711,896
2024-07-16 21:15:24.816,1470,2974,1499,-11,581,805
2024-07-16 21:15:24.819,1511,2968,1503,2965,1042,850
2024-07-16 21:15:24.822,1472,2978,1550,2964,1213,877
2024-07-16 21:15:24.824,1502,2132,1473,2968,1349,924
2024-07-16 21:15:24.827,1461,1985,1430,2975,1474,971
2024-07-16 21:15:24.830,1495,1097,1395,2965,1567,1017
2024-07-16 21:15:24.834,1444,921,1334,2974,1662,1074
2024-07-16 21:15:24.837,1491,-8,1563,2968,1731,1115
2024-07-16 21:15:24.843,1458,678,1457,2977,1789,1168
2024-07-16 21:15:24.847,1493,441,1465,2966,1834,1212
2024-07-16 21:15:24.853,1452,885,1460,2881,1870,1248
2024-07-16 21:15:24.858,1532,90,1468,2684,1865,1272
2024-07-16 21:15:24.862,1474,-9,1495,-15,1328,1175
2024-07-16 21:15:24.865,1515,-11,1439,-8,1075,1077
2024-07-16 21:15:24.868,1471,-16,1396,-8,867,991
2024-07-16 21:15:24.870,1503,-17,1422,-8,708,891
2024-07-16 21:15:24.873,1454,394,1571,-11,582,802
2024-07-16 21:15:24.876,1499,924,1505,2968,1047,844
