Timestamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6
2024-07-16 21:17:09.897,1513,2977,1333,2966,1574,1022
2024-07-16 21:17:09.899,1475,2976,1629,2967,1662,1079
2024-07-16 21:17:09.900,1557,595,1481,2953,1724,1117
2024-07-16 21:17:09.902,1495,-10,1408,2975,1797,1164
2024-07-16 21:17:09.904,1524,40,1556,2956,1832,1209
2024-07-16 21:17:09.906,1467,-6,1573,2865,1862,1249
2024-07-16 21:17:09.907,1514,-5,1261,2678,1861,1268
2024-07-16 21:17:09.910,1461,-8,1433,-12,1328,1168
2024-07-16 21:17:09.913,1493,-8,1496,-17,1072,1081
2024-07-16 21:17:09.916,1454,-10,1388,-13,870,987
2024-07-16 21:17:09.918,1498,-14,1447,-9,707,889
2024-07-16 21:17:09.920,1458,-10,1553,-9,578,796
2024-07-16 21:17:09.923,1468,1473,1466,2972,1045,841
2024-07-16 21:17:09.925,1440,2974,1607,2970,1215,881
2024-07-16 21:17:09.927,1485,2959,1358,2966,1347,919
2024-07-16 21:17:09.929,1447,2974,1406,2970,1470,972
2024-07-16 21:17:09.930,1493,2971,1532,2965,1569,1018
2024-07-16 21:17:09.932,1453,2978,1380,2967,1658,1072
2024-07-16 21:17:09.934,1483,2972,1414,2970,1725,1116
2024-07-16 21:17:09.935,1451,2972,1631,2972,1796,1167
2024-07-16 21:17:09.938,1485,2970,1563,2966,1842,1208
2024-07-16 21:17:09.940,1453,2973,1487,2868,1872,1244
2024-07-16 21:17:09.942,1491,2740,1536,2144,1764,1243
2024-07-16 21:17:09.944,1461,1025,1490,-12,1283,1151
2024-07-16 21:17:09.946,1503,-11,1423,-8,1040,1064
2024-07-16 21:17:09.948,1478,13,1380,-13,841,966
2024-07-16 21:17:09.949,1516,-15,1427,-13,692,875
2024-07-16 21:17:09.951,1478,-11,1546,-1,564,788
2024-07-16 21:17:09.952,1525,-14,1418,2967,1023,832
2024-07-16 21:17:09.954,1482,-14,1563,2970,1201,869
2024-07-16 21:17:09.956,1522,-18,1519,2963,1348,907
2024-07-16 21:17:09.958,1432,-15,1385,2965,1467,960
2024-07-16 21:17:09.959,1528,-8,1420,2961,1559,1004
2024-07-16 21:17:09.961,1490,-13,1502,2971,1651,1060
2024-07-16 21:17:09.962,1523,425,1392,2985,1713,1101
2024-07-16 21:17:09.964,1477,2331,1529,2975,1787,1154
