Timestamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6
19:17.4,1439,1190,1595,2946,1533,1282
19:17.4,1482,1828,1460,2943,1448,1361
19:17.4,1460,2973,1477,2947,1726,1465
19:17.4,1492,2967,1541,2941,1650,1393
19:17.4,1466,2964,1551,2945,1538,1280
19:17.4,1495,2962,1292,2945,1312,1687
19:17.4,1459,2964,1557,2945,1567,1431
19:17.4,1559,2969,1633,2917,1480,1270
19:17.4,1511,2974,1391,-11,1614,1396
19:17.4,1524,2967,1302,-8,1422,1535
19:17.4,1489,2191,1589,-10,1430,1348
19:17.4,1516,689,1409,-11,1373,1487
19:17.4,1473,-8,1478,-12,1403,1441
19:17.4,1512,-15,1367,2948,1477,1489
19:17.4,1466,-2,1593,2959,1604,1157
19:17.4,1508,-10,1509,2948,1447,1309
19:17.4,1454,-11,1542,2961,1497,1445
19:17.4,1489,1,1607,2931,1459,1599
19:17.4,1463,-18,1705,2958,1487,1164
19:17.4,1497,-33,1415,2952,1368,1479
19:17.4,1466,-11,1509,2958,1626,1640
19:17.4,1455,219,1537,2939,1473,1324
19:17.4,1471,2000,1483,2259,1371,1290
19:17.4,1483,2695,1344,-12,1393,1794
19:17.4,1435,2974,1335,-8,1602,1592
19:17.4,1500,2968,1513,-10,1516,1523
19:17.4,1465,2975,1458,-13,1509,1378
19:17.4,1507,2968,1419,1848,1484,1476
19:17.4,1440,2976,1606,2953,1574,1289
19:17.4,1500,2965,1510,2957,1516,1480
19:17.4,1468,2969,1420,2960,1462,1567
19:17.5,1505,2969,1442,2954,1543,1684
19:17.5,1457,2643,1672,2958,1609,1365
19:17.5,1526,914,1415,2956,1429,1382
19:17.5,1483,-12,1431,2958,1444,1395
19:17.5,1510,-9,1452,2949,1476,1494
19:17.5,1466,-18,1454,2870,1434,1342
19:17.5,1495,-8,1396,-10,1385,1490
19:17.5,1463,-4,1371,-10,1510,1463
19:17.5,1504,16,1416,-12,1511,1345
19:17.5,1445,-9,1591,-14,1482,1172
19:17.5,1487,-9,1436,-8,1374,1936
19:17.5,1446,1170,1371,2954,1470,1495
19:17.5,1473,2410,1410,2947,1533,1220
19:17.5,1437,2981,1565,2955,1509,1299
19:17.5,1481,2964,1230,2946,1453,1699
19:17.5,1458,2973,1543,2956,1422,1268
19:17.5,1438,2959,1489,2948,1503,1276
19:17.5,1457,2975,1409,2955,1503,1563
19:17.5,1492,2967,1438,2932,1545,1674
19:17.5,1451,2975,1567,2951,1673,1166
19:17.5,1484,2970,1444,2720,1503,1248
19:17.5,1454,2963,1496,-10,1545,1437
19:17.5,1495,1437,1411,-8,1609,1516
19:17.5,1460,-8,1441,-12,1549,1282
19:17.5,1499,-9,1297,-8,1393,1347
19:17.5,1466,-4,1640,-17,1496,1529
19:17.5,1504,-10,1427,2933,1515,1050
19:17.5,1473,-15,1406,2949,1447,1262
19:17.5,1511,-9,1433,2950,1393,1575
