Timestamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6
2024-07-18 19:25:28.564,2285,1397,1901,2692,2635,1479
2024-07-18 19:25:28.566,575,1593,2000,-8,126,1487
2024-07-18 19:25:28.568,759,1557,1889,754,2958,1490
2024-07-18 19:25:28.570,2344,1418,1812,2955,2960,1466
2024-07-18 19:25:28.572,1563,1489,1978,1560,-13,1487
2024-07-18 19:25:28.574,348,1608,1975,-9,-9,1472
2024-07-18 19:25:28.575,1429,1510,1844,1892,2971,1468
2024-07-18 19:25:28.578,2484,1377,1856,2963,-10,1466
2024-07-18 19:25:28.580,1128,1570,2009,424,-10,1454
2024-07-18 19:25:28.583,457,1647,1940,-12,428,1465
2024-07-18 19:25:28.585,1995,1447,1816,2966,2963,1465
2024-07-18 19:25:28.587,2125,1395,1908,2607,-22,1457
2024-07-18 19:25:28.590,591,1553,2001,-12,-6,1451
2024-07-18 19:25:28.593,981,1511,1881,936,2948,1445
2024-07-18 19:25:28.594,2424,1339,1807,2967,2958,1460
2024-07-18 19:25:28.596,1611,1468,1979,1210,380,1466
2024-07-18 19:25:28.597,342,1606,1980,-6,2929,1468
2024-07-18 19:25:28.599,1734,1409,1813,2503,2967,1485
2024-07-18 19:25:28.601,2349,1355,1890,2962,1287,1478
2024-07-18 19:25:28.602,785,1544,1990,-7,-16,1483
2024-07-18 19:25:28.604,806,1567,1885,699,2966,1439
2024-07-18 19:25:28.607,2424,1377,1798,2966,2869,1487
2024-07-18 19:25:28.609,1685,1555,1990,1555,-11,1487
2024-07-18 19:25:28.611,449,1624,1982,-8,-10,1475
2024-07-18 19:25:28.612,1586,1444,1848,2146,2967,1481
2024-07-18 19:25:28.614,2423,1379,1864,2954,306,1473
2024-07-18 19:25:28.615,890,1590,2000,-5,-15,1485
2024-07-18 19:25:28.617,718,1603,1889,371,2957,1483
2024-07-18 19:25:28.619,2388,1392,1817,2967,2968,1481
2024-07-18 19:25:28.620,1942,1434,1957,1831,-8,1480
2024-07-18 19:25:28.623,439,1617,1997,-16,-4,1476
2024-07-18 19:25:28.624,1357,1482,1828,2002,2956,1480
2024-07-18 19:25:28.626,2499,1365,1872,2962,2800,1473
2024-07-18 19:25:28.627,1016,1553,2001,159,-9,1471
2024-07-18 19:25:28.629,594,1638,1904,-6,2967,1478
2024-07-18 19:25:28.630,2145,1402,1809,2966,2966,1462
2024-07-18 19:25:28.632,1913,1421,1925,2193,79,1427
2024-07-18 19:25:28.633,390,1590,2008,-8,-15,1465
2024-07-18 19:25:28.634,1160,1531,1842,1615,2963,1466
2024-07-18 19:25:28.636,2510,1398,1853,2958,1908,1480
2024-07-18 19:25:28.637,1278,1553,1995,646,-14,1480
2024-07-18 19:25:28.639,529,1618,1925,52,233,1480
2024-07-18 19:25:28.641,2083,1395,1803,2952,2959,1487
2024-07-18 19:25:28.643,2211,1408,1929,2388,-11,1493
2024-07-18 19:25:28.644,618,1616,1993,-9,-12,1490
2024-07-18 19:25:28.646,1055,1538,1859,983,2954,1500
2024-07-18 19:25:28.647,2530,1386,1819,2967,2482,1487
2024-07-18 19:25:28.649,1684,1522,1994,1349,-15,1489
2024-07-18 19:25:28.651,322,1634,1964,-12,883,1473
2024-07-18 19:25:28.652,1599,1495,1800,2133,2960,1466
2024-07-18 19:25:28.654,2323,1337,1880,2954,2968,1462
2024-07-18 19:25:28.656,1079,1567,2010,-13,-2,1475
2024-07-18 19:25:28.658,448,1580,1929,-3,2968,1457
2024-07-18 19:25:28.659,2133,1381,1792,2958,2947,1452
2024-07-18 19:25:28.661,2134,1389,1937,2395,1362,1447
2024-07-18 19:25:28.663,572,1607,1985,-8,766,1443
2024-07-18 19:25:28.664,1051,1510,1862,1168,2959,1454
2024-07-18 19:25:28.666,2484,1348,1836,2954,2949,1458
2024-07-18 19:25:28.668,1358,1526,2004,785,-12,1473
2024-07-18 19:25:28.670,471,1595,1940,-8,1327,1487
2024-07-18 19:25:28.672,1927,1400,1798,2963,2965,1480
2024-07-18 19:25:28.673,2190,1344,1910,2725,-8,1482
2024-07-18 19:25:28.675,616,1596,2012,-20,-7,1483
2024-07-18 19:25:28.677,1027,1555,1860,1028,1585,1480
2024-07-18 19:25:28.679,2482,1393,1814,2969,1010,1481
2024-07-18 19:25:28.680,1500,1531,1990,1169,-47,1489
2024-07-18 19:25:28.682,358,1592,1967,-14,-8,1479
2024-07-18 19:25:28.684,1848,1429,1799,2664,2964,1480
2024-07-18 19:25:28.686,2298,1373,1911,2745,-10,1478
2024-07-18 19:25:28.688,812,1593,2005,-1,-11,1486
2024-07-18 19:25:28.689,744,1574,1892,674,2969,1461
2024-07-18 19:25:28.691,2360,1401,1806,2966,2960,1489
2024-07-18 19:25:28.693,1676,1511,1998,1515,1462,1480
2024-07-18 19:25:28.694,432,1589,1961,-8,2961,1480
2024-07-18 19:25:28.696,1649,1437,1828,2194,2966,1465
2024-07-18 19:25:28.698,2397,1326,1869,2966,2952,1471
2024-07-18 19:25:28.699,841,1560,2000,-10,-8,1469
2024-07-18 19:25:28.701,701,1602,1890,427,2961,1467
2024-07-18 19:25:28.703,2259,1415,1811,2975,2968,1466
2024-07-18 19:25:28.704,1970,1435,1959,1831,-4,1453
2024-07-18 19:25:28.706,404,1604,1991,-9,-11,1455
2024-07-18 19:25:28.708,1498,1470,1818,1891,2568,1462
2024-07-18 19:25:28.709,2473,1377,1859,2958,255,1469
2024-07-18 19:25:28.711,973,1566,1997,-27,-9,1471
2024-07-18 19:25:28.713,539,1625,1919,128,2970,1475
2024-07-18 19:25:28.714,2131,1410,1799,2956,2954,1474
2024-07-18 19:25:28.716,1901,1423,1938,2200,875,1469
2024-07-18 19:25:28.718,410,1619,2013,-4,90,1475
2024-07-18 19:25:28.719,1067,1511,1845,1411,2969,1479
2024-07-18 19:25:28.721,2663,1348,1839,2960,2510,1485
2024-07-18 19:25:28.723,1392,1534,2003,864,-15,1468
2024-07-18 19:25:28.725,321,1617,1953,-8,1050,1473
2024-07-18 19:25:28.726,1825,1420,1823,2537,2962,1457
2024-07-18 19:25:28.728,2460,1357,1867,2937,1572,1468
2024-07-18 19:25:28.730,858,1569,2003,-14,-11,1458
2024-07-18 19:25:28.731,695,1604,1899,179,2449,1464
2024-07-18 19:25:28.733,2185,1370,1810,2967,2940,1452
2024-07-18 19:25:28.735,1907,1395,1923,1967,-11,1447
2024-07-18 19:25:28.736,368,1602,2000,-9,-14,1443
2024-07-18 19:25:28.738,1366,1461,1841,1757,2961,1464
2024-07-18 19:25:28.740,2533,1363,1863,2951,2661,1471
2024-07-18 19:25:28.741,1150,1527,1992,580,-8,1481
2024-07-18 19:25:28.743,481,1618,1935,-15,2147,1473
2024-07-18 19:25:28.745,2151,1380,1808,2954,2958,1485
2024-07-18 19:25:28.746,2146,1386,1919,2189,-10,1483
2024-07-18 19:25:28.748,526,1617,2009,-12,-8,1477
2024-07-18 19:25:28.750,1175,1505,1850,1503,2964,1473
2024-07-18 19:25:28.752,2441,1400,1843,2941,2597,1474
2024-07-18 19:25:28.753,1204,1538,2007,812,-12,1485
2024-07-18 19:25:28.755,416,1650,1941,-10,2335,1479
2024-07-18 19:25:28.757,2021,1467,1810,2965,2965,1487
2024-07-18 19:25:28.759,2248,1408,1918,2481,-14,1487
2024-07-18 19:25:28.760,645,1567,2005,-11,-1,1488
2024-07-18 19:25:28.762,1035,1523,1848,1058,2958,1481
2024-07-18 19:25:28.764,2569,1352,1829,2962,2962,1473
2024-07-18 19:25:28.766,1442,1490,1999,921,-10,1475
2024-07-18 19:25:28.768,407,1611,1952,-13,610,1478
2024-07-18 19:25:28.770,1917,1427,1813,2741,2954,1473
2024-07-18 19:25:28.772,2271,1384,1890,2797,-9,1466
2024-07-18 19:25:28.773,607,1582,1997,-15,-8,1466
2024-07-18 19:25:28.775,876,1560,1893,783,1851,1469
2024-07-18 19:25:28.777,2442,1347,1804,2955,1508,1476
2024-07-18 19:25:28.778,1621,1489,1968,1408,-16,1455
2024-07-18 19:25:28.779,395,1658,1962,-8,-11,1473
2024-07-18 19:25:28.781,1650,1480,1814,2249,2961,1464
2024-07-18 19:25:28.783,2429,1419,1872,2933,653,1472
