Timestamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6
2024-07-18 19:24:52.714,565,1589,1977,-5,784,1469
2024-07-18 19:24:52.716,993,1560,1849,1348,1097,1479
2024-07-18 19:24:52.718,2451,1342,1831,2955,2587,1475
2024-07-18 19:24:52.720,1274,1555,1974,798,1543,1473
2024-07-18 19:24:52.722,526,1638,1945,-13,638,1470
2024-07-18 19:24:52.724,1879,1493,1802,2958,1833,1546
2024-07-18 19:24:52.725,2210,1522,1905,2630,2359,1524
2024-07-18 19:24:52.728,613,1485,2003,-10,740,1507
2024-07-18 19:24:52.730,890,1424,1874,1072,987,1505
2024-07-18 19:24:52.732,2383,1251,1814,2960,2374,1497
2024-07-18 19:24:52.734,1475,1468,1981,1082,1763,1492
2024-07-18 19:24:52.736,513,1589,1937,-10,427,1487
2024-07-18 19:24:52.737,1629,1433,1806,2472,1756,1485
2024-07-18 19:24:52.739,2343,1363,1890,2911,2373,1481
2024-07-18 19:24:52.741,746,1565,1981,-8,1013,1428
2024-07-18 19:24:52.744,890,1517,1865,639,820,1483
2024-07-18 19:24:52.747,2346,1379,1816,2962,2454,1469
2024-07-18 19:24:52.750,1683,1466,1953,1396,1799,1447
2024-07-18 19:24:52.752,406,1609,1950,-11,555,1445
2024-07-18 19:24:52.754,1510,1462,1806,2204,1555,1451
2024-07-18 19:24:52.756,2321,1360,1861,2924,2490,1456
2024-07-18 19:24:52.759,945,1536,1981,-8,1036,1458
2024-07-18 19:24:52.761,702,1549,1892,248,713,1461
2024-07-18 19:24:52.763,2286,1407,1805,2958,2155,1502
2024-07-18 19:24:52.764,1914,1418,1932,2024,2075,1486
2024-07-18 19:24:52.766,424,1588,1989,-6,566,1481
2024-07-18 19:24:52.767,1177,1496,1847,1410,1195,1478
2024-07-18 19:24:52.769,2445,1357,1834,2960,2551,1473
2024-07-18 19:24:52.771,1390,1528,1982,1048,1705,1457
2024-07-18 19:24:52.772,515,1636,1924,-7,537,1455
2024-07-18 19:24:52.776,1636,1490,1811,2424,1778,1456
2024-07-18 19:24:52.778,2499,1318,1870,2954,2427,1462
2024-07-18 19:24:52.780,930,1484,1986,-8,1043,1449
2024-07-18 19:24:52.781,665,1570,1876,304,659,1391
2024-07-18 19:24:52.783,2289,1400,1808,2962,2354,1446
2024-07-18 19:24:52.785,1776,1423,1948,1778,1965,1452
2024-07-18 19:24:52.786,433,1640,1993,-10,565,1457
2024-07-18 19:24:52.788,1489,1403,1829,1967,1523,1461
2024-07-18 19:24:52.791,2489,1299,1866,2966,2505,1461
2024-07-18 19:24:52.793,1132,1552,1986,55,1117,1476
2024-07-18 19:24:52.794,636,1702,1899,186,633,1459
2024-07-18 19:24:52.796,2291,1525,1785,2959,2157,1476
2024-07-18 19:24:52.797,2032,1519,1919,2087,2178,1468
2024-07-18 19:24:52.799,456,1617,1976,-15,675,1473
2024-07-18 19:24:52.799,1213,1307,1835,1644,1402,1487
2024-07-18 19:24:52.801,2521,1256,1843,2961,2536,1489
2024-07-18 19:24:52.803,1198,1531,1981,550,1349,1471
2024-07-18 19:24:52.804,545,1698,1908,-22,560,1495
2024-07-18 19:24:52.807,2029,1461,1817,2968,2152,1473
2024-07-18 19:24:52.808,2042,1475,1916,2295,2158,1498
2024-07-18 19:24:52.810,484,1623,1984,-11,667,1495
2024-07-18 19:24:52.811,1219,1525,1843,1278,1205,1481
2024-07-18 19:24:52.813,2438,1385,1841,2968,2608,1498
2024-07-18 19:24:52.815,1425,1526,1977,680,1518,1444
2024-07-18 19:24:52.816,532,1623,1935,-11,513,1488
2024-07-18 19:24:52.818,1981,1503,1799,2963,2056,1489
2024-07-18 19:24:52.820,2184,1394,1904,2676,2371,1448
2024-07-18 19:24:52.822,636,1635,1989,-7,664,1487
2024-07-18 19:24:52.823,922,1590,1868,987,965,1480
2024-07-18 19:24:52.825,2628,1416,1807,2960,2481,1482
2024-07-18 19:24:52.827,1554,1534,1988,1093,1648,1480
2024-07-18 19:24:52.829,399,1642,1932,-11,484,1480
2024-07-18 19:24:52.831,1742,1486,1814,2887,1883,1473
2024-07-18 19:24:52.833,2315,1434,1885,2643,2443,1473
2024-07-18 19:24:52.834,752,1625,1996,-8,999,1473
2024-07-18 19:24:52.836,793,1565,1879,672,825,1465
2024-07-18 19:24:52.838,2443,1440,1799,2961,2393,1504
2024-07-18 19:24:52.840,1861,1571,1928,1641,1912,1488
2024-07-18 19:24:52.842,376,1596,1966,-16,527,1480
2024-07-18 19:24:52.844,1293,1388,1814,1691,1390,1467
2024-07-18 19:24:52.846,2545,1276,1856,2962,2697,1462
2024-07-18 19:24:52.847,1271,1398,1988,754,1321,1468
2024-07-18 19:24:52.849,471,1406,1936,-4,415,1456
2024-07-18 19:24:52.851,1988,1192,1795,2954,1982,1458
2024-07-18 19:24:52.853,2342,1287,1901,2735,2460,1453
2024-07-18 19:24:52.855,670,1589,1979,-13,745,1459
2024-07-18 19:24:52.857,718,1629,1889,848,935,1433
2024-07-18 19:24:52.859,2368,1459,1791,2957,2457,1458
2024-07-18 19:24:52.861,1556,1524,1973,1374,1790,1409
2024-07-18 19:24:52.862,433,1641,1953,-8,382,1470
2024-07-18 19:24:52.864,1672,1426,1802,2249,1615,1429
2024-07-18 19:24:52.866,2443,1376,1869,2955,2437,1473
2024-07-18 19:24:52.868,774,1589,1987,-9,966,1462
2024-07-18 19:24:52.870,723,1568,1876,501,662,1464
2024-07-18 19:24:52.872,2289,1384,1806,2964,2370,1466
2024-07-18 19:24:52.874,1860,1464,1932,1545,1848,1463
2024-07-18 19:24:52.876,491,1604,1966,-11,437,1469
2024-07-18 19:24:52.878,1523,1478,1804,2010,1504,1469
2024-07-18 19:24:52.880,2466,1362,1853,2957,2608,1472
2024-07-18 19:24:52.882,976,1567,1983,-11,1076,1475
2024-07-18 19:24:52.884,511,1618,1901,348,616,1477
2024-07-18 19:24:52.886,2214,1465,1801,2961,2365,1483
2024-07-18 19:24:52.888,1918,1371,1928,1904,2143,1480
2024-07-18 19:24:52.890,427,1492,1988,-10,514,1483
2024-07-18 19:24:52.892,1226,1409,1822,1805,1400,1482
2024-07-18 19:24:52.894,2496,1333,1846,2967,2556,1490
2024-07-18 19:24:52.896,1129,1548,1996,393,1328,1487
2024-07-18 19:24:52.897,526,1623,1901,43,541,1476
2024-07-18 19:24:52.899,2127,1453,1799,2968,2189,1473
2024-07-18 19:24:52.901,2030,1450,1915,2199,2129,1482
2024-07-18 19:24:52.903,558,1596,1992,-8,719,1487
2024-07-18 19:24:52.905,1156,1511,1822,1342,1198,1480
2024-07-18 19:24:52.907,2497,1382,1848,2953,2623,1484
2024-07-18 19:24:52.909,1364,1521,1981,661,1519,1474
2024-07-18 19:24:52.911,423,1573,1927,-10,525,1473
2024-07-18 19:24:52.913,1958,1407,1804,2960,2077,1471
2024-07-18 19:24:52.915,2206,1371,1914,2537,2354,1469
2024-07-18 19:24:52.917,674,1570,1984,-10,729,1468
2024-07-18 19:24:52.919,979,1555,1858,1087,1050,1470
2024-07-18 19:24:52.921,2519,1369,1807,2962,2460,1502
2024-07-18 19:24:52.923,1604,1502,1966,1458,1794,1476
2024-07-18 19:24:52.925,370,1616,1946,-8,431,1476
2024-07-18 19:24:52.927,1504,1496,1829,2127,1694,1466
2024-07-18 19:24:52.929,2419,1409,1848,2956,2555,1469
2024-07-18 19:24:52.931,899,1573,1988,230,1200,1447
2024-07-18 19:24:52.933,566,1570,1898,104,575,1457
2024-07-18 19:24:52.935,2042,1443,1808,2967,2213,1455
2024-07-18 19:24:52.937,2019,1415,1901,2405,2228,1464
2024-07-18 19:24:52.939,568,1579,1984,-8,676,1458
2024-07-18 19:24:52.941,1032,1525,1839,1160,1051,1448
2024-07-18 19:24:52.943,2451,1335,1818,2962,2741,1448
2024-07-18 19:24:52.945,1457,1516,1981,1047,1520,1461
2024-07-18 19:24:52.947,518,1624,1933,-17,417,1473
2024-07-18 19:24:52.949,1844,1438,1796,2685,1867,1460
2024-07-18 19:24:52.951,2198,1318,1904,2649,2453,1469
2024-07-18 19:24:52.953,693,1531,1981,-13,776,1473
2024-07-18 19:24:52.955,960,1527,1874,889,1023,1467
2024-07-18 19:24:52.957,2309,1345,1799,2952,2451,1467
2024-07-18 19:24:52.958,1565,1462,1979,1326,1785,1473
2024-07-18 19:24:52.960,360,1610,1940,-7,335,1460
2024-07-18 19:24:52.962,1703,1446,1799,2620,1826,1464
2024-07-18 19:24:52.964,2339,1381,1880,2947,2459,1474
2024-07-18 19:24:52.966,837,1535,1974,-2,995,1471
2024-07-18 19:24:52.968,810,1574,1871,604,864,1478
2024-07-18 19:24:52.970,2329,1406,1803,2954,2495,1482
2024-07-18 19:24:52.972,1757,1467,1960,1619,1890,1484
2024-07-18 19:24:52.974,420,1642,1960,-10,484,1484
2024-07-18 19:24:52.976,1623,1487,1810,2209,1629,1486
2024-07-18 19:24:52.978,2385,1346,1870,2963,2624,1487
2024-07-18 19:24:52.980,890,1545,1986,-9,1022,1488
2024-07-18 19:24:52.982,628,1585,1888,382,795,1486
2024-07-18 19:24:52.984,2199,1411,1799,2965,2302,1487
2024-07-18 19:24:52.986,2025,1481,1933,1901,2096,1487
2024-07-18 19:24:52.988,453,1615,1967,-8,482,1482
2024-07-18 19:24:52.990,1432,1495,1829,1860,1462,1486
2024-07-18 19:24:52.992,2516,1379,1852,2961,2620,1482
2024-07-18 19:24:52.994,1086,1590,1995,138,1252,1482
2024-07-18 19:24:52.996,608,1662,1901,36,544,1481
2024-07-18 19:24:52.998,2183,1382,1807,2959,2250,1451
2024-07-18 19:24:53.000,1969,1339,1909,2148,2129,1478
2024-07-18 19:24:53.001,481,1455,1985,22,624,1482
2024-07-18 19:24:53.003,1166,1455,1824,1313,1159,1480
2024-07-18 19:24:53.005,2481,1359,1835,2959,2699,1492
2024-07-18 19:24:53.007,1430,1537,1957,868,1481,1488
