Timestamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6
2024-07-18 19:55:56.210,1044,1788,2205,1500,1666,1689
2024-07-18 19:55:56.221,698,1839,2256,1503,1638,1676
2024-07-18 19:55:56.239,673,1845,2302,1535,1691,1682
2024-07-18 19:55:56.253,920,1870,2339,1638,1708,1672
2024-07-18 19:55:56.256,1252,1814,2354,1732,1729,1675
2024-07-18 19:55:56.258,1653,1756,2355,1832,1761,1668
2024-07-18 19:55:56.266,2102,1678,2319,1947,1749,1673
2024-07-18 19:55:56.275,2529,1623,2276,2033,1774,1671
2024-07-18 19:55:56.285,2734,1584,2215,2047,1745,1659
2024-07-18 19:55:56.294,2660,1572,2143,1901,1702,1657
2024-07-18 19:55:56.303,2383,1606,2127,1841,1689,1636
2024-07-18 19:55:56.312,1871,1656,2122,1722,1643,1646
2024-07-18 19:55:56.321,1283,1709,2143,1588,1558,1637
2024-07-18 19:55:56.331,816,1798,2208,1559,1597,1633
2024-07-18 19:55:56.340,505,1828,2253,1529,1639,1668
2024-07-18 19:55:56.350,379,1875,2300,1491,1629,1663
2024-07-18 19:55:56.359,576,1827,2345,1572,1653,1688
2024-07-18 19:55:56.368,977,1795,2355,1782,1753,1691
2024-07-18 19:55:56.377,1521,1791,2363,1875,1743,1667
2024-07-18 19:55:56.386,2017,1721,2317,1959,1734,1663
2024-07-18 19:55:56.396,2449,1682,2274,2004,1717,1695
2024-07-18 19:55:56.405,2612,1602,2218,2014,1695,1705
2024-07-18 19:55:56.414,2631,1565,2153,1924,1672,1692
2024-07-18 19:55:56.424,2347,1644,2135,1851,1630,1676
2024-07-18 19:55:56.433,1833,1676,2127,1722,1620,1661
2024-07-18 19:55:56.442,1334,1740,2156,1604,1575,1671
2024-07-18 19:55:56.452,871,1809,2207,1519,1591,1674
2024-07-18 19:55:56.461,616,1878,2265,1522,1659,1663
2024-07-18 19:55:56.470,542,1940,2301,1557,1676,1659
2024-07-18 19:55:56.479,728,1865,2352,1600,1691,1669
2024-07-18 19:55:56.489,1103,1866,2357,1696,1677,1680
2024-07-18 19:55:56.498,1650,1791,2362,1758,1720,1691
2024-07-18 19:55:56.507,2216,1739,2311,2020,1812,1694
2024-07-18 19:55:56.517,2615,1698,2272,2068,1757,1711
2024-07-18 19:55:56.526,2978,1675,2215,2075,1748,1721
2024-07-18 19:55:56.535,2819,1636,2154,2024,1727,1737
2024-07-18 19:55:56.545,2502,1630,2124,1884,1638,1733
2024-07-18 19:55:56.554,1967,1699,2121,1728,1664,1714
2024-07-18 19:55:56.563,1493,1793,2139,1608,1662,1711
2024-07-18 19:55:56.572,990,1837,2206,1528,1656,1708
2024-07-18 19:55:56.581,653,1880,2256,1490,1610,1693
2024-07-18 19:55:56.591,571,1932,2295,1541,1631,1712
2024-07-18 19:55:56.601,716,1981,2352,1622,1610,1706
2024-07-18 19:55:56.610,1128,1900,2348,1737,1656,1716
2024-07-18 19:55:56.619,1571,1827,2351,1844,1694,1718
2024-07-18 19:55:56.628,2101,1745,2324,1945,1751,1707
2024-07-18 19:55:56.638,2496,1701,2268,1957,1780,1693
2024-07-18 19:55:56.647,2687,1657,2221,2006,1709,1692
2024-07-18 19:55:56.656,2639,1606,2153,1935,1684,1668
2024-07-18 19:55:56.665,2389,1619,2133,1855,1658,1685
2024-07-18 19:55:56.675,1935,1674,2121,1704,1633,1678
2024-07-18 19:55:56.684,1502,1728,2144,1564,1600,1690
2024-07-18 19:55:56.693,1049,1803,2198,1510,1613,1687
2024-07-18 19:55:56.702,713,1874,2246,1500,1655,1707
2024-07-18 19:55:56.711,613,1895,2293,1478,1700,1693
2024-07-18 19:55:56.720,756,1881,2338,1608,1728,1685
2024-07-18 19:55:56.730,1135,1872,2354,1734,1742,1694
2024-07-18 19:55:56.740,1679,1791,2355,1829,1783,1697
2024-07-18 19:55:56.749,2122,1705,2319,1948,1783,1701
2024-07-18 19:55:56.758,2726,1657,2283,2003,1758,1710
2024-07-18 19:55:56.768,2899,1589,2220,2022,1711,1715
2024-07-18 19:55:56.777,2724,1561,2139,1932,1678,1693
2024-07-18 19:55:56.787,2431,1579,2133,1854,1640,1694
2024-07-18 19:55:56.795,1932,1646,2111,1710,1595,1715
2024-07-18 19:55:56.805,1484,1746,2146,1571,1591,1700
2024-07-18 19:55:56.814,1010,1796,2199,1514,1628,1693
2024-07-18 19:55:56.824,680,1844,2245,1472,1635,1691
2024-07-18 19:55:56.833,646,1870,2304,1467,1640,1687
2024-07-18 19:55:56.842,812,1858,2352,1619,1683,1681
2024-07-18 19:55:56.851,1124,1800,2358,1746,1727,1674
2024-07-18 19:55:56.860,1702,1719,2367,1847,1772,1677
2024-07-18 19:55:56.870,2326,1658,2320,1936,1754,1692
2024-07-18 19:55:56.880,2772,1588,2276,2040,1737,1694
2024-07-18 19:55:56.888,2828,1544,2217,2022,1685,1688
2024-07-18 19:55:56.898,2736,1520,2140,1933,1688,1700
2024-07-18 19:55:56.907,2544,1552,2127,1819,1657,1696
2024-07-18 19:55:56.917,2060,1621,2110,1726,1633,1688
2024-07-18 19:55:56.926,1547,1687,2136,1602,1620,1689
2024-07-18 19:55:56.936,1059,1740,2198,1517,1621,1690
2024-07-18 19:55:56.944,741,1807,2247,1471,1643,1688
2024-07-18 19:55:56.953,548,1868,2309,1539,1690,1694
2024-07-18 19:55:56.963,657,1839,2343,1601,1720,1698
2024-07-18 19:55:56.972,1060,1789,2355,1720,1740,1719
2024-07-18 19:55:56.982,1462,1763,2365,1864,1763,1723
2024-07-18 19:55:56.991,2065,1695,2313,1985,1768,1720
2024-07-18 19:55:57.000,2518,1654,2278,2033,1723,1733
2024-07-18 19:55:57.010,2782,1596,2223,2000,1707,1734
