Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
48.844,-3,737,-128,2407,2913,7801,True,True
48.848,-106,960,-230,2546,3088,7610,True,True
48.893,381,1233,-485,2518,3351,8279,True,True
48.897,381,1605,-842,2499,3454,8990,True,True
48.899,867,2555,-969,2603,3247,9263,True,True
48.941,2967,3167,-1784,2104,3556,8757,True,True
48.943,3966,3539,-2498,1429,4074,8122,True,True
48.99,4273,3564,-2676,1557,4832,8198,True,True
48.992,4299,4060,-3389,1777,5243,8569,True,True
48.996,5221,4531,-4204,1318,4706,8521,True,True
49.039,8704,5077,-5351,332,3889,7532,False,True
49.041,11265,5077,-6037,-219,4654,6820,False,False
49.087,12673,4861,-7110,-590,5653,6015,False,False
49.089,13134,4134,-7643,-894,6817,5782,False,False
49.092,12929,3837,-7999,-1159,7415,5851,False,False
49.136,12059,3572,-8457,-1639,6749,4729,False,False
49.139,12315,2696,-9096,-1966,6431,4203,False,False
49.185,13006,2126,-9019,-2241,7004,3599,False,False
49.188,11777,1283,-9147,-3268,7321,3659,False,False
49.19,10496,671,-9222,-3327,7054,2874,False,False
49.234,7961,-544,-8866,-3212,7134,2111,False,False
49.236,6937,-1445,-8664,-3301,6718,2499,False,False
49.283,5067,-1668,-8178,-3454,6052,1908,False,False
49.286,4248,-2437,-7619,-3658,5797,1421,False,False
49.288,3864,-3065,-6878,-3776,5523,1899,False,False
49.331,2993,-3205,-6115,-4073,4619,1521,False,False
49.334,3326,-3404,-5452,-4046,4691,1747,False,False
49.38,2609,-3429,-4943,-4133,4815,2211,False,False
49.384,1687,-3081,-4256,-4318,4249,2285,False,False
49.386,1584,-3082,-3441,-4381,3912,2079,False,False
49.43,1994,-2627,-2728,-4459,5020,2795,False,False
49.432,791,-2338,-2344,-4598,5500,2642,False,False
49.478,-362,-2139,-1784,-4895,5284,2325,False,False
49.482,-541,-1990,-1427,-4984,4742,1884,False,False
49.526,-490,-2123,-1172,-5126,4643,1924,False,False
49.533,611,-1387,-715,-4205,3007,4499,False,False
49.536,1764,-106,-129,-4070,4207,5025,False,False
49.538,867,258,229,-5031,6370,3605,False,False
49.574,-1386,688,279,-5649,5833,2345,False,False
49.577,-1437,663,611,-5398,4311,1355,False,False
49.624,919,696,841,-5417,4091,1511,False,False
49.626,2788,332,662,-5433,5691,2252,False,False
49.629,1226,886,585,-5483,6799,2454,False,False
49.672,-1258,737,75,-5830,6699,1416,False,False
49.675,-1514,365,356,-5775,5768,705,False,False
49.721,-464,-188,25,-5787,5333,781,False,False
49.723,688,-304,-102,-5704,5836,871,False,False
49.726,739,-932,-203,-5756,6468,1089,False,False
49.77,534,-1139,-586,-5806,6067,1261,False,False
49.772,995,-1445,-892,-5529,5898,1638,False,False
49.819,688,-1643,-994,-5412,6126,2285,False,False
49.821,-336,-1470,-636,-5250,5536,2831,False,False
49.824,-413,-1131,-230,-4100,3323,4904,False,False
49.868,842,936,484,-4624,5356,4948,False,False
49.87,-567,1489,841,-5056,6276,3818,False,False
49.916,-3384,1655,1350,-5262,5622,2230,False,False
49.918,-3998,1655,1732,-4927,4991,2250,False,False
49.921,-4152,1754,1909,-4651,5166,2472,False,False
49.966,-5945,1927,2700,-4800,5937,3191,False,False
49.969,-8685,1952,2826,-4926,5807,3473,False,False
50.014,-11246,1927,3821,-4953,5159,3431,False,False
50.017,-13371,1580,4687,-4758,4945,3105,False,False
50.02,-14319,1340,5530,-4706,4881,2866,False,False
50.063,-13653,84,5246,-4912,4767,2721,False,False
50.065,-13448,-825,5630,-5115,4315,2887,False,False
50.111,-13448,-1718,5986,-5092,3585,3504,False,False
50.118,-14217,-2412,6623,-4749,3521,4171,False,False
50.122,-14421,-3106,6725,-4230,3926,4262,False,False
50.16,-13781,-4073,6369,-3753,3497,5232,False,False
50.167,-13320,-4867,6268,-3518,2791,4997,False,False
50.209,-11835,-5140,6037,-3180,1691,4794,False,False
50.212,-10170,-5677,6062,-2157,708,5014,False,False
50.215,-7328,-6619,5528,-2049,569,6331,False,False
50.257,-4255,-6132,4889,-1340,-282,7453,False,False
50.26,-1694,-6065,5631,-1214,381,7527,False,False
50.355,1047,-5380,4660,-587,2472,7773,False,False
50.357,2199,-5760,4407,367,3445,9353,False,False
50.36,73,-5429,3947,-253,3914,8588,False,False
50.403,1149,-4239,3210,1061,3661,9062,False,False
50.406,150,-3949,3134,1098,3512,8969,False,False
50.453,-387,-3825,2419,1422,3235,8840,False,False
50.455,-234,-3404,2471,1057,2652,8311,False,False
50.458,381,-3181,2190,1051,2236,8238,False,False
50.502,1533,-2685,1808,1336,3234,8873,False,False
50.504,791,-2106,1706,1678,3447,9004,False,False
50.551,355,-1883,1349,1684,2995,8518,False,False
50.553,-131,-1866,1554,1561,2509,8215,False,False
50.555,304,-1710,1350,1623,2782,8156,False,False
50.599,278,-1288,890,1818,2832,8238,False,False
50.602,457,-1271,942,1925,2840,8336,False,False
50.648,432,-1131,866,1980,2779,8385,False,False
50.65,406,-924,636,2103,2759,8393,False,False
50.652,637,-371,587,1822,2624,8249,False,False
50.697,458,-428,305,1998,2584,8013,False,False
50.7,150,-503,382,1948,2590,7774,False,False
50.746,330,-106,356,1947,2791,7873,False,False
50.749,150,-98,434,2296,2515,7700,False,False
50.751,355,-131,76,2285,2380,7891,False,False
50.794,48,-106,229,2299,2362,7803,False,False
50.797,278,-7,50,2074,2447,7622,False,False
