Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
22.987,25,584,-251,5167,4346,6970,True,True
22.988,-226,1339,-176,5340,4157,8085,True,True
23.029,-401,2557,-432,4970,3859,8820,True,True
23.029,-702,3304,180,5046,3606,9501,True,True
23.039,-401,4639,525,5176,3145,10041,True,True
23.077,300,6226,1001,5155,2982,10105,True,True
23.08,1191,7460,1327,5008,3202,9661,True,True
23.124,3206,8518,1277,4745,3533,9245,True,True
23.166,4859,9425,1102,4722,3851,9084,True,True
23.166,6061,10331,676,4672,4374,8957,False,True
23.166,5905,11515,325,4666,5117,8810,False,False
23.176,5660,12497,50,4668,5659,8440,False,False
23.213,4533,12367,-627,3977,6475,7033,False,False
23.215,4233,14160,-958,3821,6423,6381,False,False
23.258,4132,14819,-1378,3215,6933,5905,False,False
23.26,4313,14710,-1673,2751,6674,5252,False,False
23.263,4408,14890,-2611,2304,7325,4399,False,False
23.3,4859,14588,-3156,1849,7558,3305,False,False
23.305,5605,14038,-4208,1401,8157,2417,False,False
23.345,5710,13102,-5541,1167,8554,2384,False,False
23.345,4483,12472,-6112,465,8264,2532,False,False
23.354,3055,11616,-6613,-84,7842,2146,False,False
23.393,2029,10709,-7014,-290,7557,1312,False,False
23.395,1052,9500,-7490,-1222,7530,771,False,False
23.437,-732,7938,-7534,-1792,7170,-359,False,False
23.44,-1072,6251,-8015,-2544,7098,-1397,False,False
23.442,-1378,3631,-8873,-3078,6689,-1750,False,False
23.484,-1052,1163,-9343,-3182,7108,-1770,False,False
23.484,-702,-1431,-10420,-3029,7292,-1635,False,False
23.528,-852,-4080,-10896,-2846,7161,-1364,False,False
23.53,-1002,-6066,-11567,-2694,6898,-1302,False,False
23.533,-1353,-8358,-12349,-2703,6159,-1107,False,False
23.566,-1378,-10704,-12819,-2702,5227,-1009,False,False
23.576,-326,-12489,-13776,-2272,4313,-420,False,False
23.617,1377,-14176,-14467,-1529,3440,368,False,False
23.62,2730,-15839,-15079,-1135,1868,2108,False,False
23.621,3876,-16619,-14953,-723,287,3707,False,False
23.663,4283,-16854,-14528,819,-1977,8727,False,False
23.664,1828,-13677,-11597,2101,-4361,15580,False,False
23.704,-6462,-7426,-7064,1722,-7389,17743,False,False
23.704,-12930,-1830,-1178,-2217,-11782,13823,False,False
23.704,-10912,1247,4397,-5225,-14358,14945,False,False
23.754,-1158,1310,6712,-3589,-10631,17361,False,False
23.757,4308,2460,5749,-2976,-7063,14126,False,False
23.798,8307,4354,6336,-3676,-3650,12292,False,False
23.842,8276,6129,7388,-3308,-1353,10945,False,False
23.845,5140,8169,8705,-4276,-35,9001,False,False
23.846,-2730,11011,11972,-2659,-12,6662,False,False
23.887,-6613,10084,15197,-2694,-1131,1328,False,False
23.887,-1253,11087,14401,-3009,2220,2422,False,False
23.933,3456,9983,12342,-3021,4281,1379,False,False
23.935,6456,8169,10644,-2434,6256,326,False,False
23.937,8666,6654,9247,-1803,9159,543,False,False
23.975,10224,5013,6311,-1324,10733,679,False,False
