Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
9.93,-669,-32,-1096,1439,2485,8618,True,True
9.976,-1284,-82,-1682,1339,2705,8791,True,True
9.977,-2001,-305,-2498,1289,3051,9705,True,True
9.98,-2692,-24,-3184,1384,3044,10207,True,True
10.021,-1976,-313,-5528,1048,2499,10041,True,True
10.023,-1745,-131,-6575,1229,2339,10487,True,True
10.065,-439,34,-6726,2102,2887,10255,True,True
10.068,790,290,-7134,2128,2404,9368,True,True
10.111,4068,993,-7209,1746,1521,7800,False,True
10.113,8038,431,-7312,1610,1660,6306,False,False
10.115,11162,18,-7390,1740,3025,5487,False,False
10.155,14363,-908,-6777,1908,4157,5143,False,False
10.157,16182,-602,-6217,1796,4140,4502,False,False
10.2,17974,-354,-5860,1297,5185,4740,False,False
10.202,18999,166,-6243,891,6043,3844,False,False
10.205,18384,191,-6165,748,7179,3830,False,False
10.245,16028,836,-6089,561,7043,2761,False,False
10.248,14671,935,-5733,-179,6261,2214,False,False
10.29,15183,687,-6344,-1110,5844,1124,False,False
10.293,16822,307,-6343,-2614,7020,1153,False,False
10.295,16079,-106,-7261,-3370,8520,1708,False,False
10.335,13365,166,-7873,-2827,9056,2388,False,False
10.338,11495,142,-8280,-2446,8689,2328,False,False
10.381,9421,1010,-8382,-1845,8247,4586,False,False
10.426,8217,2274,-9199,-1113,8535,3283,False,False
10.427,6578,2993,-8764,-2247,8158,1511,False,False
10.43,5477,3795,-8279,-3188,7269,1065,False,False
10.473,5221,3737,-6065,-2664,6645,1335,False,False
10.476,3607,4704,-5376,-2639,6428,1875,False,False
10.516,2660,5704,-4306,-2786,4782,642,False,False
10.517,3710,5837,-3185,-3179,5136,-859,False,False
10.521,4171,6002,-2395,-3027,5984,-1054,False,False
10.561,4043,5994,-1504,-2810,5929,-1440,False,False
10.564,3146,5787,-664,-2695,6146,-1059,False,False
10.606,1072,6349,689,-2164,5498,-751,False,False
10.608,-106,6614,2141,-903,5112,-1663,False,False
10.611,-977,6531,3389,-923,6590,-3965,False,False
10.651,-285,5126,3644,-767,7885,-6090,False,False
10.653,22,2828,3770,-763,8298,-7553,False,False
10.695,-874,1853,2904,-924,8507,-7115,False,False
10.698,-772,1819,2598,-905,8673,-6590,False,False
10.7,-2462,216,2548,-911,8431,-6005,False,False
10.741,-2257,199,1605,-1037,8787,-6147,False,False
10.743,-3051,-677,839,-1039,8609,-5523,False,False
10.786,-3717,-892,254,-1157,8257,-4669,False,False
10.831,-4434,-1123,-179,-1053,8107,-4481,False,False
10.833,-5202,-1718,-407,-728,7945,-4313,False,False
10.835,-6457,-2090,-585,-445,8014,-3196,False,False
10.837,-8455,-1842,-790,-430,7977,-2088,False,False
10.876,-11861,-1594,-816,-634,8495,-1913,False,False
10.878,-14166,-1132,-688,-1263,8003,-559,False,False
10.921,-16086,-1098,-102,-1408,7366,492,False,False
10.923,-17136,-949,280,-1586,7187,1011,False,False
10.925,-18442,-379,815,-1851,7706,1313,False,False
10.966,-20798,-57,1426,-2683,8142,1496,False,False
10.968,-24512,-280,1885,-4091,8259,1787,False,False
11.01,-27585,-908,2727,-4083,7132,2301,False,False
11.013,-28456,-1619,3057,-3635,5188,2556,False,False
11.015,-25203,-2065,2877,-3402,2916,2734,False,False
11.101,-19415,-3040,2955,-3562,1702,3424,False,False
11.103,-13218,-3727,2063,-3579,1570,4093,False,False
11.106,-9556,-4322,1885,-2867,1546,4727,False,False
11.19,-4434,-6413,2929,-1813,2083,7093,False,False
11.192,-2821,-4537,1324,-1554,2602,7442,False,False
11.195,-2155,-4644,2444,-1249,2804,7991,False,False
11.236,-1924,-4049,2419,-610,2425,7784,False,False
11.238,-2180,-3768,2496,-503,2357,7786,False,False
11.28,-1847,-3875,2420,-143,2144,7823,False,False
11.282,-1617,-3603,2216,365,2043,8405,False,False
11.285,-772,-3305,2062,640,1890,8278,False,False
11.326,-132,-3156,2062,456,1959,8223,False,False
11.328,73,-3008,2140,1019,2104,8113,False,False
11.37,329,-2908,2190,996,2212,8116,False,False
11.372,329,-2908,2038,1265,1993,8310,False,False
11.375,611,-2768,2217,1358,2011,8444,False,False
11.415,586,-2231,1936,1568,2439,8547,False,False
11.417,432,-1859,1962,1854,2715,8865,False,False
11.461,-157,-1561,1501,1900,2482,8547,False,False
11.463,-55,-1520,1399,1937,2501,8679,False,False
11.465,304,-1297,1222,2057,2255,8234,False,False
11.505,329,-1222,1171,2254,2340,8498,False,False
11.508,457,-875,1275,2548,2427,8633,False,False
11.551,48,-577,969,2381,2343,8369,False,False
11.553,22,-321,585,2206,2225,8203,False,False
11.555,73,-478,585,2257,2142,8178,False,False
11.595,125,-280,535,2345,2174,8024,False,False
11.597,227,-24,690,2239,2143,8173,False,False
11.64,688,-494,408,2271,2109,7981,False,False
11.685,585,67,305,2165,2209,7810,False,False
11.687,227,-7,178,2220,2264,7429,False,False
11.69,-311,-156,127,2531,2116,7768,False,False
11.692,-132,67,152,2270,2090,7694,False,False
11.73,-157,-213,101,2199,2000,7501,False,False
11.776,99,-164,203,2202,1937,7543,False,False
11.778,253,-156,25,2337,1801,7596,False,False
11.781,-106,-238,178,2474,2121,7678,False,False
11.783,-464,-57,25,2318,1995,7581,False,False
11.82,-208,43,-77,2280,2021,7604,False,False
11.823,124,-189,205,2330,2011,7576,False,False
11.866,99,-106,-180,2319,2075,7529,False,False
11.868,22,-181,-77,2336,2124,7685,False,False
11.87,-336,1,-26,2445,1986,7731,False,False
11.91,-55,-7,-230,2321,1932,7639,False,False
