Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
20.672,791,-130,100,1298,1602,6412,True,True
20.676,-874,-601,662,1306,2868,9204,True,True
20.721,-1565,259,484,539,2885,9856,True,True
20.726,-1258,1011,127,1041,3467,11055,True,True
20.768,-2231,1780,-435,1516,3297,11517,True,True
20.773,-2564,2897,-332,1616,3715,11409,True,True
20.778,-3178,3765,-1045,1392,4725,11476,True,True
20.814,-4792,4831,-1810,1630,3492,10819,True,True
20.818,-3921,5402,-2525,1441,2996,10540,True,True
20.863,-3588,6047,-2829,1486,3681,10951,True,True
20.869,-4843,6716,-3313,1675,3222,11000,False,True
20.872,-5355,7262,-3492,1427,2835,10344,False,False
20.912,-5304,7940,-3898,907,2166,9530,False,False
20.916,-4945,8105,-4102,259,1582,9173,False,False
20.961,-4613,8237,-4690,87,1104,8849,False,False
20.963,-5330,7932,-4640,-104,618,8511,False,False
20.968,-5611,7808,-4588,-424,261,8297,False,False
21.009,-6072,7841,-4102,-427,-25,8505,False,False
21.012,-6328,7684,-3642,-569,-326,8092,False,False
21.057,-6252,7461,-4054,-688,-1730,6974,False,False
21.06,-5483,6989,-3722,-1396,-2406,5830,False,False
21.062,-4715,6419,-3288,-1835,-1887,5863,False,False
21.107,-5688,5526,-2753,-1677,-1462,6482,False,False
21.109,-6123,5591,-2497,-1330,-2411,6601,False,False
21.156,-5304,5030,-1988,-1043,-3243,5455,False,False
21.158,-3358,4352,-1299,-1727,-2267,4403,False,False
21.204,-2333,3715,-2143,-2946,-2443,4126,False,False
21.207,-2436,2847,-1606,-3150,-2371,3765,False,False
21.209,-1821,2259,-1886,-3807,-2689,3257,False,False
21.212,253,1011,-1605,-3417,-3183,3034,False,False
21.253,2353,94,-1886,-3053,-4090,3045,False,False
21.255,4428,-1006,-1684,-3232,-4032,2990,False,False
21.302,4863,-1717,-1147,-3365,-3532,3359,False,False
21.304,5862,-2759,-816,-3869,-3608,3217,False,False
21.306,8807,-3594,-434,-3947,-4976,3327,False,False
21.351,14902,-4446,25,-3552,-5059,3388,False,False
21.354,19972,-5190,127,-3706,-3862,3610,False,False
21.399,23225,-6281,331,-4042,-2713,3558,False,False
21.402,25683,-7331,1707,-3660,-2437,2797,False,False
21.404,27271,-8712,3262,-2821,-310,2517,False,False
21.497,29474,-9506,4408,351,1784,-1325,False,False
21.499,27374,-10184,5759,2656,7240,1026,False,False
21.501,20152,-9728,7110,7209,20171,233,False,False
21.504,10395,-7100,6928,2433,14098,6178,False,False
21.545,1611,-2801,2010,1540,11153,8342,False,False
21.55,-1001,-1420,611,534,8667,7363,False,False
21.594,-1283,-807,686,101,7032,6597,False,False
21.596,-618,-353,75,-109,6160,5625,False,False
21.6,-131,-477,281,-196,6434,5041,False,False
21.643,-669,-187,-206,139,6446,5544,False,False
21.645,-1053,292,178,476,6069,5221,False,False
21.692,-925,490,-179,960,6292,4890,False,False
21.741,-1078,433,-663,1388,6629,4144,False,False
21.743,-1744,945,-1071,1559,6766,3569,False,False
21.745,-3127,838,-1579,2159,7298,4179,False,False
21.75,-6840,1565,-1835,1862,7338,5766,False,False
21.838,-15983,3045,-1021,1684,6258,5246,False,False
21.84,-18365,3797,-383,1395,4803,3249,False,False
21.843,-16060,3665,76,980,1766,3618,False,False
21.887,-13371,3070,3008,-447,3690,7969,False,False
21.89,-14293,2681,3975,-471,892,6853,False,False
21.935,-10503,1896,4077,-1713,-784,6158,False,False
21.938,-5816,1259,3312,-2045,-824,6746,False,False
21.94,-3434,-212,3363,-1958,2,6732,False,False
21.984,-3050,-1403,5047,-995,-2025,7357,False,False
21.988,740,-1345,4407,-1630,-2943,7592,False,False
22.033,6374,-1593,3975,-2277,-591,7324,False,False
22.035,7706,-2387,3644,-2028,2004,8579,False,False
22.038,5350,-2635,3542,-1188,2332,8675,False,False
22.084,4018,-2957,3822,-435,1032,8483,False,False
22.087,5426,-2933,3339,-607,1562,8667,False,False
22.131,6067,-2933,2701,-991,3584,8714,False,False
22.136,3326,-3097,3236,237,3658,9563,False,False
22.138,689,-3089,2317,-34,1480,8917,False,False
22.179,4223,-2858,2343,482,879,8204,False,False
22.183,5785,-2321,2370,377,3838,9075,False,False
22.228,2533,-2379,2115,943,4858,9837,False,False
22.23,-1104,-2387,2446,1147,2965,9576,False,False
22.235,-874,-1916,2497,977,1435,8825,False,False
22.277,2737,-1551,2089,906,2672,8604,False,False
22.279,2251,-1320,1834,896,3473,8915,False,False
22.326,919,-1221,1834,1159,3188,9132,False,False
22.329,509,-923,1836,951,2762,9032,False,False
22.334,1559,-568,1427,840,2729,8537,False,False
22.374,1508,-807,815,719,4108,8404,False,False
22.376,-361,-874,739,924,3523,8333,False,False
22.472,-1104,-799,534,1045,2448,8141,False,False
22.475,-131,-981,918,1186,2557,7913,False,False
22.477,304,-502,483,1318,2963,7915,False,False
22.521,-464,-758,688,2005,2759,7679,False,False
22.569,-105,-452,611,2134,2986,7402,False,False
22.571,-259,-403,586,2150,2950,7506,False,False
22.573,-208,-403,740,2193,2748,7328,False,False
22.576,-233,-171,560,2239,2622,7341,False,False
22.618,561,-510,304,2540,2911,7460,False,False
22.621,356,-303,433,2227,3053,7594,False,False
22.667,432,-179,331,2236,2967,7774,False,False
