Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
2.144,125,-272,-51,3290,1451,7448,True,True
2.146,50,-66,50,3537,1406,7492,True,True
2.149,125,-759,50,3360,1426,7462,True,True
2.152,2930,-1456,-1528,3715,2246,9011,True,True
2.19,1553,2348,-1008,4399,2434,14394,True,True
2.192,1778,5924,-2781,6183,4015,14282,True,True
2.235,6044,5177,-3813,1666,3568,13375,True,True
2.236,6437,4690,-5461,1975,4009,13705,True,True
2.239,5811,5169,-6407,2804,5096,14061,True,True
2.279,4107,7033,-7684,3789,6694,13605,True,True
2.282,-2079,7914,-8592,7685,6660,7273,False,True
2.324,-1102,10231,-8992,3176,6662,9688,False,False
2.327,-2260,10832,-9243,2469,6064,8074,False,False
2.33,-3457,11592,-9143,2170,5489,6338,False,False
2.369,-4383,11566,-8842,1708,4637,5087,False,False
2.372,-4729,11188,-8341,1348,3794,4290,False,False
2.415,-5335,10328,-7083,823,2580,3460,False,False
2.418,-5516,9854,-6488,436,1909,2979,False,False
2.459,-5285,9098,-5461,-206,1226,2505,False,False
2.462,-4859,7709,-4659,-1101,250,2164,False,False
2.505,-3902,6730,-3732,-2023,-739,2399,False,False
2.507,-2806,5165,-2981,-2366,-990,2657,False,False
2.51,-1408,3964,-2349,-2776,-899,3031,False,False
2.513,175,2960,-2149,-3067,-250,3271,False,False
2.594,1547,2024,-2324,-3588,804,3311,False,False
2.596,2655,1009,-2630,-4464,2238,4011,False,False
2.599,2930,-221,-2831,-5209,3053,3410,False,False
2.602,2850,-1254,-3001,-5543,4131,3741,False,False
2.639,1233,-2337,-3783,-6109,4648,3695,False,False
2.642,526,-3168,-4715,-6020,3490,4565,False,False
2.684,977,-4608,-4609,-5682,2116,4989,False,False
2.687,1377,-5536,-4860,-4796,2006,5705,False,False
2.69,1452,-6367,-4960,-3578,761,7364,False,False
2.775,1052,-6569,-4734,-1043,61,9465,False,False
2.777,1678,-8219,-1617,413,-5132,10949,False,False
2.779,14,-3987,-2205,1052,-1300,9760,False,False
2.782,-2079,-1506,-2235,50,-854,9171,False,False
2.819,1633,-373,-1228,197,-5680,10804,False,False
2.822,1703,-729,-657,-1320,-418,7549,False,False
2.865,1277,-1657,-2355,-3668,1581,7107,False,False
2.869,1784,-1535,-757,-1477,-4033,9118,False,False
2.871,1778,-574,-251,-91,-556,8845,False,False
2.91,-877,610,450,-1487,2385,9187,False,False
2.913,-2224,1521,751,-2954,1995,8474,False,False
2.954,-1879,1013,1102,-3216,474,7702,False,False
2.956,-651,534,751,-3402,3,7342,False,False
2.959,325,106,475,-2961,488,7151,False,False
2.999,656,110,525,-2331,900,7390,False,False
3.058,-376,207,1007,-1698,821,7224,False,False
3.063,-1228,207,851,-914,79,6973,False,False
3.135,-1603,207,1077,-548,-531,6434,False,False
3.137,-1929,9,1196,-358,-658,5942,False,False
3.179,-2129,-398,1853,-621,-730,5378,False,False
3.181,-2104,-1254,2579,-708,-1439,5056,False,False
3.184,-2435,-5104,5454,-1911,-575,3024,False,False
3.186,-1728,-6846,6256,-1847,-492,3228,False,False
3.225,-952,-9264,7714,-723,-68,4329,False,False
3.227,-220,-10426,8390,-73,274,5447,False,False
3.272,-501,-11203,8810,-730,679,6365,False,False
3.274,-201,-11833,9367,-1372,917,6281,False,False
3.276,100,-12920,9292,-493,671,6535,False,False
3.314,1077,-13420,9097,220,649,7143,False,False
3.317,2179,-14230,8245,1723,1094,9060,False,False
3.404,2830,-13646,7539,4049,2319,11381,False,False
3.407,3156,-12765,6898,5533,2616,12191,False,False
3.409,3055,-11023,5510,6448,2230,11562,False,False
3.412,2830,-9234,4107,8034,2490,12784,False,False
3.584,1102,-4449,2705,7574,1993,12367,False,False
3.586,1152,-3345,2279,6512,954,11148,False,False
3.589,1828,-2639,1427,6337,1153,10288,False,False
3.591,1422,-1657,851,6222,1429,9785,False,False
3.63,701,1168,119,4919,804,7134,False,False
3.632,501,1113,150,4900,816,6923,False,False
3.675,270,1088,-56,4783,798,7091,False,False
3.677,300,988,-201,4805,856,7006,False,False
3.72,476,858,-376,4670,638,6852,False,False
3.722,150,887,-702,4383,477,6489,False,False
3.724,300,862,-958,4495,546,6790,False,False
3.764,156,1013,-552,4500,714,6881,False,False
3.768,-95,992,-346,4482,483,6874,False,False
3.772,-301,710,-376,4513,412,6894,False,False
3.81,-45,992,-552,4252,492,7163,False,False
3.814,-75,740,-632,4087,384,6891,False,False
3.855,-131,765,-607,4345,270,6817,False,False
3.857,306,102,-376,4550,472,6902,False,False
3.859,100,484,-457,4118,977,6951,False,False
3.945,206,660,-201,3923,794,7407,False,False
3.947,-151,509,205,4341,550,7097,False,False
3.949,-45,433,-206,4264,659,7127,False,False
3.952,-457,715,130,4289,588,7098,False,False
4.035,144,358,55,4033,752,7087,False,False
4.037,325,152,-382,4191,828,7017,False,False
4.04,0,207,-51,4233,761,7099,False,False
4.08,19,152,-206,4112,629,7087,False,False
4.082,325,307,-26,4121,658,7047,False,False
