Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
27.496,22,-305,584,3602,1006,7547,True,True
27.498,-29,-330,1273,3557,418,7617,True,True
27.586,-55,-24,1374,3649,171,7957,True,True
27.588,-183,290,2089,4056,-111,8732,True,True
27.591,-234,662,2394,3907,-370,9124,True,True
27.63,765,1381,3057,4090,-153,9636,True,True
27.633,2480,3464,3081,4034,955,10004,True,True
27.635,2737,4489,3057,4339,1712,10267,True,True
27.675,3095,5175,2878,4204,2373,10241,True,True
27.678,3556,6142,2318,3987,3066,10291,False,True
27.68,3274,6705,1681,3674,3528,10051,False,False
27.765,3146,7283,610,3078,3824,9234,False,False
27.767,3454,7754,-127,2918,4091,9021,False,False
27.771,3428,7878,-1504,2738,4538,8436,False,False
27.773,2634,7829,-2726,2113,4965,7987,False,False
27.812,-2539,6688,-4970,1378,5437,8361,False,False
27.813,-5561,6159,-5888,1443,4485,7977,False,False
27.856,-6841,5994,-6038,1058,3482,6920,False,False
27.858,-6739,5324,-7134,628,2444,6475,False,False
27.946,-6457,4531,-7516,172,1974,6162,False,False
27.948,-6969,3687,-7924,-46,1472,6552,False,False
27.95,-8378,2638,-8333,307,662,6788,False,False
27.952,-9710,2257,-7924,206,-1498,5963,False,False
27.991,-8070,-65,-5604,-140,-3983,5893,False,False
27.993,-7558,-528,-4968,-230,-3568,5716,False,False
28.036,-8378,-1074,-4408,-405,-4086,5458,False,False
28.038,-7891,-1941,-3133,-276,-5724,5153,False,False
28.04,-6252,-2586,-1986,-28,-6769,5533,False,False
28.126,-4229,-3404,-765,-236,-6004,6334,False,False
28.128,-4434,-3876,101,164,-5539,6658,False,False
28.13,-5766,-3991,1043,269,-5340,7823,False,False
28.133,-6636,-4049,1605,-519,-4674,9569,False,False
28.171,-4639,-3330,2826,283,-6846,8599,False,False
28.216,-5971,-3636,4560,-152,-8553,6102,False,False
28.218,-7584,-4561,5399,-363,-10315,5141,False,False
28.22,-7610,-5438,7311,-216,-10790,6137,False,False
28.223,-8378,-6033,8941,1004,-11875,5419,False,False
28.306,-7456,-5926,11745,1454,-9574,4225,False,False
28.308,-2462,-6182,13553,1070,-15058,3669,False,False
28.31,380,-6785,16432,-444,-12490,3879,False,False
28.486,918,-6702,17704,593,-9166,6141,False,False
28.488,-9402,-6727,18904,-1914,-4670,5054,False,False
28.53,-9991,-8488,18215,-2014,-5828,2790,False,False
28.533,-2129,-10678,17169,411,-6246,2631,False,False
28.535,4708,1265,1477,526,4401,6199,False,False
28.576,2557,1803,-1529,-503,4721,6388,False,False
28.578,-388,2142,-5529,-1603,3952,5777,False,False
28.58,-1002,2720,-7567,-700,3284,5821,False,False
28.666,-1028,3489,-9274,27,2300,6069,False,False
28.671,508,4134,-10242,105,700,6405,False,False
28.673,2148,4630,-11261,-120,-74,6685,False,False
28.711,3684,5076,-12459,-455,-554,7078,False,False
28.714,2762,5473,-13555,-1671,-696,6468,False,False
28.756,2020,5473,-13656,-1794,-1000,5639,False,False
28.758,970,6051,-13478,-901,-2950,5987,False,False
28.76,124,6589,-12764,-779,-4354,6538,False,False
28.892,508,7201,-11898,-1760,-6046,5276,False,False
28.894,2634,7167,-10903,-1810,-6209,4161,False,False
28.896,6220,6539,-10904,-2090,-6018,3899,False,False
28.898,7449,5473,-11186,-2370,-6648,5043,False,False
28.936,15618,1679,-7007,-3166,-4981,5636,False,False
28.938,15951,1166,-6650,-2370,-3188,6485,False,False
29.026,13544,571,-5196,-2341,-1925,7883,False,False
29.071,9421,216,-4841,-2216,-1936,10560,False,False
29.073,5528,737,-2981,-815,-3570,10281,False,False
29.076,4632,845,-1656,-885,-4582,8234,False,False
29.115,6066,-1669,1682,-685,-26,9963,False,False
29.118,6296,-1470,1603,-1331,-276,9470,False,False
29.161,6885,-1809,2165,-1890,231,8693,False,False
29.163,5195,-2809,2394,-1397,921,8464,False,False
29.165,2737,-3446,2394,-1149,680,8754,False,False
29.208,1763,-4305,2444,-895,86,9203,False,False
29.25,1892,-4140,2751,-951,204,8860,False,False
29.252,1687,-4735,2955,-598,514,9001,False,False
29.255,765,-5223,3031,3,998,9039,False,False
29.258,-234,-4926,2956,310,491,8440,False,False
29.295,1917,-5405,2725,-39,241,8112,False,False
29.298,3556,-5586,2853,94,1228,8640,False,False
29.386,2865,-5487,2725,679,3364,10072,False,False
29.388,329,-5190,2523,1162,3705,10112,False,False
29.391,-2769,-4967,2011,1013,1809,8797,False,False
29.392,-2411,-5041,2114,457,148,7628,False,False
29.476,406,-4619,1936,2288,2734,9623,False,False
29.478,-542,-4148,1681,2235,2081,9314,False,False
