Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
21.693,-490,-238,100,3010,1937,7544,True,True
21.742,-131,68,151,3042,2143,7585,True,True
21.744,-55,249,-180,2898,1801,7730,True,True
21.751,483,415,231,2614,2282,8341,True,True
21.753,1021,646,-306,2049,2443,9304,True,True
21.791,3044,2027,-1604,2457,3478,10948,True,True
21.793,5042,3572,-3212,2465,3854,11628,True,True
21.839,8627,4779,-4535,2050,4551,11565,True,True
21.842,11879,6366,-6266,1381,5736,11362,True,True
21.844,13211,6961,-8384,753,7651,10770,True,True
21.888,11700,7482,-10140,357,8973,9683,True,True
21.89,10932,7474,-11389,-45,9012,8805,False,True
21.937,10753,7730,-12560,-171,8723,7520,False,False
21.939,10522,7391,-13757,-497,8847,6241,False,False
21.942,10189,6416,-14929,-783,8428,4968,False,False
21.986,10932,5225,-15973,-1343,7428,4491,False,False
21.988,10778,4209,-16560,-1592,7101,4356,False,False
22.035,9856,3192,-16485,-1759,6642,3959,False,False
22.037,8909,2126,-15925,-1921,6094,3099,False,False
22.039,8089,1332,-15567,-2237,5456,3035,False,False
22.083,7116,117,-14318,-2809,4637,2899,False,False
22.086,5656,-428,-13199,-3128,3989,2717,False,False
22.133,5298,-982,-11874,-3390,3646,2626,False,False
22.135,5374,-1023,-10803,-3623,3002,2444,False,False
22.137,5144,-1090,-9554,-3827,2756,2323,False,False
22.184,2609,-1767,-7516,-3615,3279,2761,False,False
22.186,406,-1544,-5809,-3640,1990,2772,False,False
22.232,227,-1495,-4459,-3840,565,1922,False,False
22.233,2071,-1296,-3314,-3724,806,1859,False,False
22.234,2737,-792,-2268,-3656,2203,2644,False,False
22.277,-925,-751,-994,-4616,3473,2400,False,False
22.281,-1335,-701,-357,-5750,2603,2020,False,False
22.326,201,-577,-51,-5775,2411,1707,False,False
22.333,867,-627,103,-5636,3574,2390,False,False
22.334,-157,-478,127,-5938,4071,2677,False,False
22.375,-1309,-304,382,-6726,2989,2728,False,False
22.377,-541,-255,75,-7157,2895,3046,False,False
22.473,-311,208,560,-6787,3036,3487,False,False
22.475,-1463,92,713,-6875,3724,4186,False,False
22.478,-3435,192,942,-7398,3957,4192,False,False
22.521,-6687,646,2192,-7910,4421,6023,False,False
22.523,-11656,489,2164,-7915,5081,5276,False,False
22.57,-16137,-156,3159,-8191,3653,3755,False,False
22.572,-17418,-776,3796,-7949,1794,2499,False,False
22.575,-15139,-1304,4179,-8127,1248,3435,False,False
22.62,-16829,-1305,4789,-7967,1350,3397,False,False
22.622,-18775,-2470,5425,-8016,1316,3488,False,False
22.668,-21157,-2578,5934,-7720,1042,2602,False,False
22.671,-21669,-3734,6395,-7584,-70,2075,False,False
22.674,-20645,-4123,7286,-6619,-1579,116,False,False
22.717,-16624,-6032,6370,-7205,-3980,2094,False,False
22.719,-13167,-5289,5194,-6901,-2161,4450,False,False
22.766,-11937,-5760,7008,-6676,-2353,5819,False,False
22.768,-12347,-6206,7388,-5519,-1659,6201,False,False
22.77,-10708,-6049,5556,-4751,-1088,6178,False,False
22.863,-7251,-6272,4866,-3465,-1401,6099,False,False
22.866,-5586,-6256,4916,-2525,-1240,6814,False,False
22.868,-3025,-5264,3694,-1718,-98,8259,False,False
22.87,-1950,-4429,3387,-1887,2024,9438,False,False
22.911,99,-1883,2267,-1480,-883,7335,False,False
22.915,2276,-916,1784,-1423,455,7649,False,False
22.961,1610,-379,1044,-2263,2002,7761,False,False
22.964,-823,-197,994,-2360,1319,7433,False,False
22.966,-1719,-106,484,-2250,-248,7062,False,False
23.009,432,316,-26,-2614,-1058,6685,False,False
23.011,1405,770,-255,-2700,-381,6852,False,False
23.058,1277,605,-255,-2496,258,7226,False,False
23.06,765,935,-892,-1982,212,7358,False,False
23.064,867,1357,-1505,-1739,-276,7471,False,False
23.107,2916,1919,-2474,-1164,-705,6864,False,False
23.109,5323,2498,-2676,-1642,-173,6799,False,False
23.205,6245,2647,-3338,-1436,75,7023,False,False
23.21,5580,2803,-3542,-1000,119,6229,False,False
23.214,4914,2721,-3465,-1355,-282,5191,False,False
23.256,8499,-850,-2395,-1859,340,3321,False,False
23.26,9139,-619,-2929,-3303,3131,3920,False,False
23.302,5477,-1586,-3083,-4620,5121,6069,False,False
23.304,201,-3181,-26,-5209,2729,6251,False,False
23.307,-3409,-4214,2138,-4364,44,5276,False,False
23.35,-1591,-4710,2599,-3599,-2660,5250,False,False
23.353,2532,-4388,1681,-5385,-1594,5945,False,False
23.4,5195,-5189,1910,-5611,917,6830,False,False
23.402,3479,-6032,3514,-4244,2410,6979,False,False
23.404,918,-6429,4891,-3197,1599,6909,False,False
23.448,1482,-6619,4331,-4526,166,7385,False,False
23.451,3275,-7099,4332,-4182,1362,8436,False,False
23.497,2967,-7099,4356,-3209,2944,9375,False,False
23.5,688,-7255,4127,-2307,2984,9221,False,False
23.502,-260,-7148,4254,-1811,2462,9084,False,False
23.547,-592,-6826,3948,-1901,2288,8498,False,False
23.549,355,-6975,3643,-1874,1361,7721,False,False
23.645,1354,-6991,3667,-1469,443,7159,False,False
23.65,2506,-7198,3923,-703,1053,7987,False,False
23.653,1969,-6595,3845,89,2054,11147,False,False
23.656,-464,-6132,4076,1630,2807,9566,False,False
