Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
0.605,576,232,-276,3738,426,6328,True,True
0.609,381,-246,-126,3643,496,5395,True,True
0.633,-20,-293,-106,3499,315,4142,True,True
0.635,-601,-926,375,3226,-40,2675,True,True
0.636,-752,-1405,450,2770,-219,1494,True,True
0.664,-601,-2466,525,2427,-109,795,True,True
0.675,-626,-3827,1007,2262,212,656,True,True
0.689,-771,-4978,1458,2270,315,530,True,True
0.72,-1127,-6436,1026,2715,351,1611,True,True
0.723,-952,-7882,957,4078,-547,1684,True,True
0.75,-520,-8048,876,5771,-1196,2084,True,True
0.779,-426,-7626,651,7081,-2439,1327,False,True
0.794,-100,-7803,520,8560,-1745,4681,False,False
0.798,1889,-7720,1096,8593,-732,5706,False,False
0.81,2454,-8533,1647,8543,-821,4663,False,False
0.839,3957,-8936,1302,8349,-962,3736,False,False
0.854,5585,-9259,520,8634,-409,6614,False,False
0.869,4476,-9034,550,9605,440,7163,False,False
0.929,2605,-7702,1071,10529,1275,6175,False,False
0.931,751,-7123,1683,10904,658,5081,False,False
0.933,55,-6665,1953,10128,57,3599,False,False
0.975,1032,-8340,1928,8283,-1023,2226,False,False
0.989,1427,-8709,1978,8045,-1222,1813,False,False
0.991,1127,-8634,2755,8232,-1141,1116,False,False
1.02,-50,-8000,2599,6664,-294,-179,False,False
1.022,451,-9994,5385,9257,-1457,1305,False,False
1.05,-401,-10372,5685,10104,-1180,1290,False,False
1.079,-1041,-9620,6186,10778,-1332,1167,False,False
1.081,-1929,-8382,5780,11185,-1896,1346,False,False
1.094,-2524,-6291,4383,11713,-2365,749,False,False
1.109,-1898,-5108,2899,11585,-3317,387,False,False
1.14,-651,-4881,2980,11604,-3392,1389,False,False
1.154,495,-5364,2009,10735,-2231,1984,False,False
1.17,2254,-5208,295,10521,-1516,2741,False,False
1.199,6061,-2937,100,10545,-3431,4567,False,False
1.201,9217,-3168,-977,9541,-2641,4594,False,False
1.23,10049,-4172,-1478,9360,-68,4261,False,False
1.274,8616,-3823,-1002,9514,1873,5090,False,False
1.276,5059,-2211,-952,9751,3031,5550,False,False
1.279,1773,-347,-1253,10233,2825,5819,False,False
1.319,-1072,1063,-1133,9795,1689,5038,False,False
1.322,-3933,3859,-1258,10869,1002,5319,False,False
1.335,-3813,5119,-1553,11650,295,4761,False,False
1.35,-1754,5857,-2149,11462,-670,4457,False,False
1.379,876,5622,-3382,11392,-755,4731,False,False
1.382,3812,4233,-5065,11614,-1234,5340,False,False
1.41,4734,5345,-5511,13220,-649,4264,False,False
1.44,6963,4438,-6888,13522,817,4816,False,False
1.442,6005,5496,-8015,13662,516,3451,False,False
1.455,5786,5849,-8647,14586,1678,3042,False,False
1.47,3707,6957,-8817,14861,1860,2059,False,False
1.514,1277,8821,-8711,15557,1903,1882,False,False
1.516,-651,10483,-8692,14983,1258,1512,False,False
1.561,-1322,11214,-8617,13845,656,1241,False,False
1.563,-1779,11243,-8316,13055,585,519,False,False
1.566,-2129,10836,-7915,12465,928,472,False,False
1.649,-3156,11365,-7189,11328,774,682,False,False
1.652,-4264,11440,-6538,10269,455,441,False,False
1.655,-4308,11722,-5962,9367,13,-12,False,False
1.695,-4934,10257,-3106,5717,-153,206,False,False
1.697,-5160,9577,-2054,4632,-744,355,False,False
1.74,-4690,8540,-1704,3363,-664,854,False,False
1.742,-3763,7310,-1297,2915,-711,811,False,False
1.745,-2254,5647,-1072,2123,-768,1525,False,False
1.785,-2104,4086,-585,3542,3,2344,False,False
1.787,-1823,5144,-526,2908,575,3591,False,False
1.874,-2430,3402,-627,1737,873,3119,False,False
1.876,-1728,858,150,930,-676,3997,False,False
1.879,-476,685,-507,2314,480,4046,False,False
1.92,-2680,866,-76,2463,1170,5672,False,False
1.923,-2380,408,637,2136,621,5828,False,False
2.055,-1728,156,-31,2490,709,6168,False,False
2.057,-1278,-196,-20,2574,887,6625,False,False
2.059,-832,-624,-401,2643,1036,6972,False,False
2.099,-1008,-654,-407,2730,1109,7433,False,False
2.102,506,-1510,125,9968,-1738,14275,False,False
2.105,676,-1153,230,3650,917,8101,False,False
2.234,651,-1178,250,3415,876,8346,False,False
2.237,601,-1330,500,4483,985,11124,False,False
2.239,2404,-1145,411,2707,968,7139,False,False
2.242,220,-1019,1207,3756,1223,7175,False,False
2.28,-100,257,50,3644,1368,7443,False,False
2.368,-476,131,-226,3463,1319,7446,False,False
2.372,-100,85,100,3456,782,7412,False,False
2.373,75,-196,100,3561,1020,7280,False,False
2.38,100,-20,-51,3083,1142,7412,False,False
2.414,161,110,150,3412,1156,7440,False,False
2.459,-356,-171,225,3543,1099,7517,False,False
2.461,105,-171,50,3346,1123,7447,False,False
2.464,-25,-16,-6,3508,1046,7487,False,False
2.466,-25,56,25,3409,951,7168,False,False
2.55,200,-251,230,3418,946,7358,False,False
2.552,275,-246,180,3545,1038,7289,False,False
2.554,325,-272,0,3495,824,7427,False,False
2.557,451,-423,75,3499,1134,7440,False,False
