Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest
0.000000,-208,224,-128,-162,3590,7319,False
0.003000,252,249,-153,-254,3723,7232,True
0.004000,22,249,-102,-308,3667,7157,True
0.043000,48,17,256,-299,3751,7266,True
0.046000,-29,141,101,-248,3782,7297,True
0.087000,-311,141,127,-227,3721,7423,True
0.089000,22,199,76,-241,3725,7127,True
0.092000,73,-214,25,-295,3709,7219,True
0.132000,-80,125,-27,-326,3847,7257,True
0.134000,-29,-239,178,-3,3908,7236,True
0.147000,22,-131,-26,-287,3797,7204,True
0.178000,-81,-57,-153,-206,3740,7290,True
0.192000,-4,-305,76,-216,3708,7240,True
0.207000,201,-420,101,-75,3823,7285,True
0.222000,-157,-189,-153,-327,3796,7314,True
0.237000,-29,166,0,-282,3765,7300,True
0.253000,-132,-164,-26,-34,3742,7257,True
0.268000,48,-189,-256,-276,3767,7284,True
0.297000,227,-40,25,-299,3825,7300,True
0.313000,-132,-131,128,-417,3783,7312,True
0.327000,-29,-131,52,-379,3761,7408,True
0.343000,-285,-82,-281,-404,3744,7296,True
0.358000,-285,-206,-255,-552,3664,7007,True
0.387000,-234,-528,-204,-1033,3859,7315,True
0.402000,-721,-602,-637,-1648,3992,7803,True
0.417000,-1028,-900,-738,-1571,4073,7518,True
0.432000,-1899,-950,-942,-2058,3597,7155,True
0.448000,-2974,-1123,-1606,-2058,3357,6039,True
0.478000,-3230,-1644,-1630,-2704,2149,5356,True
0.493000,-3205,-2462,-1553,-2692,1049,4497,True
0.507000,-2795,-3347,-1555,-2327,614,4617,False
0.523000,-951,-4099,-1198,-1363,378,5204,False
0.537000,2839,-5116,-687,193,2545,6600,False
0.567000,5195,-5190,-408,1880,4449,7736,False
0.583000,4196,-5066,-511,2448,5606,8227,False
0.598000,3018,-4793,-918,3187,5854,7909,False
0.613000,3786,-4652,-2194,4728,7112,8540,False
0.627000,6860,-3793,-3618,6068,8486,8426,False
0.658000,9344,-3082,-5070,5809,9622,7520,False
0.672000,11290,-3107,-5095,5434,8196,6888,False
0.688000,14542,-2702,-2853,5895,7364,4919,False
0.703000,19818,-3281,-4408,4190,9083,2601,False
0.718000,25478,-3264,-8307,2498,10745,3082,False
0.748000,28346,-239,-9836,1978,13278,6804,False
0.762000,25862,-41,-6877,-673,13522,6070,False
0.778000,22430,-1272,-6319,-3183,13175,4318,False
0.793000,20356,-528,-8866,-3868,11954,3846,False
0.807000,16770,761,-10701,-3817,11888,3425,False
0.822000,12033,-487,-11413,-4163,10529,2561,False
