Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
29.689,202,118,101,3700,2062,7024,True,True
29.691,509,267,76,3680,2082,7058,True,True
29.734,688,358,178,3724,2268,7299,True,True
29.737,1226,557,-206,3922,2827,7632,True,True
29.783,1866,1275,-434,3853,3025,7925,True,True
29.786,2609,1160,-1021,3650,3027,8142,True,True
29.788,4632,1805,-1351,4008,3677,8728,True,True
29.832,8166,3301,-2880,3504,4823,8662,True,True
29.834,10727,3740,-4129,2877,6177,8426,True,True
29.882,11624,4236,-5633,2417,7483,8764,True,True
29.884,10727,4426,-6523,2020,7895,8616,True,True
29.887,9524,5104,-7518,1111,8128,8118,False,True
29.93,8474,4930,-9200,407,9522,7289,False,False
29.932,8090,4583,-10270,241,10073,6362,False,False
29.979,8294,4236,-12055,355,9531,6168,False,False
29.981,8653,4268,-13278,459,9342,6129,False,False
29.983,9011,3640,-14681,-60,9064,5858,False,False
30.028,8883,2971,-15522,-610,7909,4223,False,False
30.031,9088,2259,-15647,-711,8211,3618,False,False
30.075,8474,1408,-16260,-1188,7540,3649,False,False
30.078,7629,540,-15672,-1726,6429,2802,False,False
30.08,7680,-758,-15546,-1992,5861,1924,False,False
30.125,8166,-1949,-14834,-2030,5157,2147,False,False
30.128,6963,-2263,-13839,-2575,5466,2187,False,False
30.174,4991,-3032,-12948,-2603,5492,2278,False,False
30.177,3173,-2826,-11774,-2018,4689,2436,False,False
30.179,2174,-2627,-10397,-2408,3057,1694,False,False
30.222,4222,-2908,-8869,-3361,2465,1351,False,False
30.225,4120,-3131,-7568,-3050,2757,2565,False,False
30.32,3147,-2908,-6091,-2743,2782,3476,False,False
30.323,893,-2181,-4741,-3397,2966,3209,False,False
30.327,-131,-1660,-3747,-4331,2921,2936,False,False
30.331,-976,-1544,-2294,-5161,2465,3178,False,False
30.369,-362,-609,-1277,-5997,1925,4039,False,False
30.374,1995,391,-408,-4803,644,1885,False,False
30.418,3915,1267,230,-6150,1269,4613,False,False
30.424,3531,1350,942,-6300,2090,5481,False,False
30.427,2148,2450,1580,-6160,2236,6126,False,False
30.467,1354,3913,2753,-6010,1345,5845,False,False
30.47,1252,5005,3363,-5993,1378,5468,False,False
30.516,1226,6443,4077,-6091,1404,4266,False,False
30.565,1559,7344,4612,-5902,1097,3028,False,False
30.613,3121,7708,5070,-5599,1387,2877,False,False
30.615,3915,9097,6118,-5086,1951,2862,False,False
30.618,3787,11610,7543,-3667,2846,644,False,False
30.661,8525,8857,8076,-1885,5589,-2936,False,False
30.664,2558,10885,7977,-2343,5546,-3392,False,False
30.71,5452,11942,9505,-697,4739,-4608,False,False
30.713,9140,10040,7951,1262,5865,-7169,False,False
30.715,11675,9138,8636,2497,6616,-9038,False,False
30.759,227,10189,6982,167,7784,-9266,False,False
30.761,689,8353,5757,453,7795,-10004,False,False
30.857,330,6195,5863,648,8402,-8270,False,False
30.859,-464,5112,4459,533,8030,-8369,False,False
30.862,-1463,3673,3822,312,8923,-8071,False,False
30.906,-2538,-1122,764,-228,8395,-6269,False,False
30.91,-3691,-1701,383,-226,8270,-5759,False,False
30.955,-4613,-2470,-256,357,8304,-5357,False,False
30.959,-6201,-2958,-612,952,8422,-4612,False,False
30.961,-8480,-3123,-994,977,8375,-3694,False,False
31.003,-12116,-3223,-1095,738,8918,-2966,False,False
31.008,-14626,-3528,-1453,754,8569,-2335,False,False
31.051,-17033,-3355,-1249,1076,8165,-370,False,False
31.057,-17289,-2776,-1428,648,7562,-486,False,False
31.06,-19236,-2131,-560,-341,7695,-239,False,False
31.1,-24562,-3503,-1605,5672,7503,1935,False,False
31.103,-26714,-1494,53,4676,3914,3399,False,False
31.149,-29300,143,-2252,-103,-532,14492,False,False
31.152,-9175,-4482,-3494,-2030,4505,247,False,False
31.157,-22616,-4942,1758,-2701,4354,3288,False,False
31.198,-16726,-3727,-102,-1536,3857,3722,False,False
31.2,-14703,-4951,1041,-2118,1496,-726,False,False
31.252,-11937,-6001,663,-2859,526,3722,False,False
31.254,-9939,-6034,1605,-2714,202,5844,False,False
31.26,-8147,-10406,1759,-1223,-252,62,False,False
31.296,-5407,-6596,2242,-853,2033,7320,False,False
31.298,-3665,-5785,2190,-1002,1264,7441,False,False
31.344,-2052,-5868,2293,-640,1543,8689,False,False
31.346,-1924,-5215,2675,455,3093,9137,False,False
31.349,-3486,-5041,2445,716,3567,8958,False,False
31.393,-4690,-4702,2929,453,2353,8732,False,False
31.406,-3511,-4322,2317,568,1874,8549,False,False
31.49,-1540,-3975,2319,944,1942,8517,False,False
31.492,-1207,-3908,2140,1144,1793,8496,False,False
31.494,-1693,-3479,2319,1464,2178,8831,False,False
31.497,-1744,-2859,1987,1882,2036,9088,False,False
31.54,-336,-1693,1554,2689,3493,7935,False,False
31.544,2941,-2268,2064,3429,1555,18124,False,False
31.588,2302,-1345,790,2668,1637,8312,False,False
31.591,1303,-1891,1095,2754,1947,8553,False,False
31.593,458,-1246,1019,2838,1938,8463,False,False
31.637,484,-668,995,2569,1422,8182,False,False
31.641,1149,-750,993,2650,1254,8032,False,False
31.685,1073,-659,688,2710,1540,8128,False,False
