Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
4.95,701,-1430,801,3014,3292,6901,True,True
4.952,771,-1682,676,3776,4119,7244,True,True
5.039,1227,-1808,350,4637,4751,7683,True,True
5.042,576,-1380,481,4923,5254,7981,True,True
5.044,-251,-1103,155,4077,4896,7910,True,True
5.047,-476,-1204,-451,3307,4188,8399,True,True
5.085,2635,-2820,-2330,3139,5065,8813,True,True
5.088,4839,-3597,-3902,3402,7678,7655,True,True
5.131,5591,-2740,-5736,4552,7981,9432,True,True
5.133,5159,-268,-5912,6254,8034,10885,False,True
5.135,4809,2755,-6643,5164,8209,10872,False,False
5.22,3370,4417,-7965,4083,8698,10893,False,False
5.222,2780,4115,-9312,2859,9098,8980,False,False
5.225,2179,3935,-10295,2436,7428,7728,False,False
5.31,-482,6630,-10946,1017,5278,5842,False,False
5.312,-1854,6609,-10094,475,4726,4865,False,False
5.315,-2555,6453,-8692,-141,3931,4266,False,False
5.318,-3281,6227,-6788,-886,3250,4107,False,False
5.4,-3106,4917,-3808,-2128,2098,3861,False,False
5.403,-2405,3809,-2305,-2638,1571,3361,False,False
5.445,-1177,2650,-1122,-3306,1131,3502,False,False
5.448,275,1294,-206,-3067,923,3400,False,False
5.451,4082,-1855,2254,-2478,1148,3006,False,False
5.453,4934,-3118,3030,-2407,1507,2944,False,False
5.49,5786,-4277,4959,-1789,1897,3579,False,False
5.493,6462,-4625,6186,-526,2232,3586,False,False
5.626,7514,-5263,6963,14,2671,3365,False,False
5.63,8446,-5263,7658,392,3227,3294,False,False
5.633,8741,-5435,8340,1170,3988,2189,False,False
5.635,7508,-5486,8465,1989,4872,1033,False,False
5.67,2785,-1531,5610,5251,9331,3052,False,False
5.672,1703,-629,4483,4777,8464,2344,False,False
5.715,1678,-272,2404,4918,9197,3123,False,False
5.718,175,937,520,4537,10239,3833,False,False
5.72,-841,1642,-231,3990,9394,3267,False,False
5.804,-2260,2251,-738,4270,8120,2874,False,False
5.808,-1553,1088,-145,3910,7534,2536,False,False
5.81,-921,106,-571,3976,7512,2552,False,False
5.812,-927,-700,-1503,4712,8352,2780,False,False
5.85,-3732,-553,-3468,5813,8520,1964,False,False
5.853,-5536,484,-3908,6223,8245,2043,False,False
5.94,-7840,2045,-3833,6434,8018,2580,False,False
5.942,-10295,3960,-3908,5931,7044,3098,False,False
5.944,-12649,5828,-4083,4739,6139,2567,False,False
5.985,-13706,6306,-3382,1354,2256,3289,False,False
5.987,-13651,5975,-2731,-116,1917,3505,False,False
6.03,-13926,5798,-1985,-1741,1354,3983,False,False
6.032,-13526,4866,-852,-1924,928,4706,False,False
6.035,-10865,2851,-752,-1156,676,5154,False,False
6.121,-8767,1164,36,-935,1156,5348,False,False
6.123,-7069,106,857,-1536,1114,6469,False,False
6.126,-5260,-620,1978,-1332,1519,6586,False,False
6.128,-3582,-1808,2398,-980,1551,6323,False,False
6.21,676,-4604,2398,-1503,712,6737,False,False
6.215,3206,-5586,2504,-967,694,7618,False,False
6.218,4809,-6115,3231,-703,577,8336,False,False
6.3,3041,-4902,5184,702,2249,9155,False,False
6.303,3231,-5435,5616,1579,2483,9159,False,False
6.305,4734,-5863,5309,1888,2659,9709,False,False
6.39,5485,-5863,5410,1617,3249,10010,False,False
6.392,4583,-4705,3962,3650,4846,9420,False,False
6.395,3932,-4126,3080,4323,4953,9616,False,False
6.398,2980,-2938,2454,4405,5561,10139,False,False
6.48,-1428,-477,1152,4761,4764,8618,False,False
6.483,-1784,362,951,4208,3598,8111,False,False
6.485,-1077,433,470,3770,3409,7623,False,False
6.487,-451,333,119,3729,3394,7347,False,False
6.526,-582,1017,55,3723,3331,7103,False,False
6.529,-933,933,-181,3484,3241,7024,False,False
6.57,-882,1243,155,3207,3007,6630,False,False
6.572,-395,912,50,2921,2704,6335,False,False
6.575,131,555,-76,2833,2539,6309,False,False
6.66,400,383,25,2762,2372,6190,False,False
6.662,1177,207,205,3211,2885,6593,False,False
6.665,771,492,100,3725,3264,6420,False,False
6.667,69,81,94,3731,3208,6628,False,False
6.75,676,236,-176,3773,3200,6909,False,False
6.841,751,-45,-95,3884,3113,7055,False,False
6.843,400,156,-120,4051,3321,7077,False,False
6.845,250,232,-476,3698,3226,7088,False,False
6.847,250,257,-301,3401,2818,6843,False,False
6.885,476,-171,-451,3449,3148,6707,False,False
6.888,426,-276,-451,3506,3139,6680,False,False
